fs_method,similarity_measure,top_k,estimate
random,jaccard,5,0.0
random,jaccard,10,0.05263157894736842
random,jaccard,15,0.1111111111111111
random,jaccard,20,0.1111111111111111
random,jaccard,25,0.13636363636363635
random,dice,5,0.0
random,dice,10,0.1
random,dice,15,0.2
random,dice,20,0.2
random,dice,25,0.24
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.013924050632911392
random,kuncheva,15,0.03783783783783784
random,kuncheva,20,-0.03188405797101449
random,kuncheva,25,-0.056875
random,mwm,5,0.3248425219088746
random,mwm,10,0.4607663382383239
random,mwm,15,0.5788197487173302
random,mwm,20,0.5875697474352685
random,mwm,25,0.6117521546734576
random,global_spearman,NA,0.016581545795028907
random,jaccard,5,0.0
random,jaccard,10,0.05263157894736842
random,jaccard,15,0.07142857142857142
random,jaccard,20,0.17647058823529413
random,jaccard,25,0.19047619047619047
random,dice,5,0.0
random,dice,10,0.1
random,dice,15,0.13333333333333333
random,dice,20,0.3
random,dice,25,0.32
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.013924050632911392
random,kuncheva,15,-0.04234234234234234
random,kuncheva,20,0.09710144927536232
random,kuncheva,25,0.054375
random,mwm,5,0.26804422265920447
random,mwm,10,0.4129511139397358
random,mwm,15,0.4683502138120389
random,mwm,20,0.5765356489919944
random,mwm,25,0.5971218685394749
random,global_spearman,NA,-0.1333333333333333
random,jaccard,5,0.0
random,jaccard,10,0.0
random,jaccard,15,0.034482758620689655
random,jaccard,20,0.05263157894736842
random,jaccard,25,0.1111111111111111
random,dice,5,0.0
random,dice,10,0.0
random,dice,15,0.06666666666666667
random,dice,20,0.1
random,dice,25,0.2
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.12658227848101267
random,kuncheva,15,-0.12252252252252252
random,kuncheva,20,-0.1608695652173913
random,kuncheva,25,-0.1125
random,mwm,5,0.18575604358852385
random,mwm,10,0.2609662787172863
random,mwm,15,0.3564568765730607
random,mwm,20,0.4302208037677569
random,mwm,25,0.5218106469790651
random,global_spearman,NA,-0.12691521961184882
random,jaccard,5,0.0
random,jaccard,10,0.0
random,jaccard,15,0.07142857142857142
random,jaccard,20,0.08108108108108109
random,jaccard,25,0.13636363636363635
random,dice,5,0.0
random,dice,10,0.0
random,dice,15,0.13333333333333333
random,dice,20,0.15
random,dice,25,0.24
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.12658227848101267
random,kuncheva,15,-0.04234234234234234
random,kuncheva,20,-0.0963768115942029
random,kuncheva,25,-0.056875
random,mwm,5,0.3111727290859932
random,mwm,10,0.3602068875019011
random,mwm,15,0.47290894521006677
random,mwm,20,0.556570379115739
random,mwm,25,0.5981179433550436
random,global_spearman,NA,0.004715696288730031
random,jaccard,5,0.0
random,jaccard,10,0.17647058823529413
random,jaccard,15,0.1111111111111111
random,jaccard,20,0.14285714285714285
random,jaccard,25,0.28205128205128205
random,dice,5,0.0
random,dice,10,0.3
random,dice,15,0.2
random,dice,20,0.25
random,dice,25,0.44
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,0.21139240506329113
random,kuncheva,15,0.03783783783783784
random,kuncheva,20,0.03260869565217391
random,kuncheva,25,0.22125
random,mwm,5,0.3471971197119712
random,mwm,10,0.5214413441344135
random,mwm,15,0.4797342794884186
random,mwm,20,0.5672636351106126
random,mwm,25,0.6595642878412085
random,global_spearman,NA,0.06128702757916238
random,jaccard,5,0.0
random,jaccard,10,0.0
random,jaccard,15,0.0
random,jaccard,20,0.08108108108108109
random,jaccard,25,0.16279069767441862
random,dice,5,0.0
random,dice,10,0.0
random,dice,15,0.0
random,dice,20,0.15
random,dice,25,0.28
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.12658227848101267
random,kuncheva,15,-0.20270270270270271
random,kuncheva,20,-0.0963768115942029
random,kuncheva,25,-0.00125
random,mwm,5,0.3802196219621962
random,mwm,10,0.3994659011788801
random,mwm,15,0.40281198455287276
random,mwm,20,0.5263093286391421
random,mwm,25,0.576326190784101
random,global_spearman,NA,-0.10110657133129042
random,jaccard,5,0.0
random,jaccard,10,0.05263157894736842
random,jaccard,15,0.07142857142857142
random,jaccard,20,0.08108108108108109
random,jaccard,25,0.13636363636363635
random,dice,5,0.0
random,dice,10,0.1
random,dice,15,0.13333333333333333
random,dice,20,0.15
random,dice,25,0.24
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.013924050632911392
random,kuncheva,15,-0.04234234234234234
random,kuncheva,20,-0.0963768115942029
random,kuncheva,25,-0.056875
random,mwm,5,0.5365808580858086
random,mwm,10,0.4706320000467555
random,mwm,15,0.5233789076939729
random,mwm,20,0.58293678658484
random,mwm,25,0.6196323983857609
random,global_spearman,NA,-0.12414027919645898
random,jaccard,5,0.0
random,jaccard,10,0.0
random,jaccard,15,0.034482758620689655
random,jaccard,20,0.05263157894736842
random,jaccard,25,0.16279069767441862
random,dice,5,0.0
random,dice,10,0.0
random,dice,15,0.06666666666666667
random,dice,20,0.1
random,dice,25,0.28
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.12658227848101267
random,kuncheva,15,-0.12252252252252252
random,kuncheva,20,-0.1608695652173913
random,kuncheva,25,-0.00125
random,mwm,5,0.2743906390639064
random,mwm,10,0.3293673888331444
random,mwm,15,0.4200111025064247
random,mwm,20,0.49262027895448035
random,mwm,25,0.580731743079294
random,global_spearman,NA,-0.06031664964249228
random,jaccard,5,0.0
random,jaccard,10,0.05263157894736842
random,jaccard,15,0.034482758620689655
random,jaccard,20,0.08108108108108109
random,jaccard,25,0.08695652173913043
random,dice,5,0.0
random,dice,10,0.1
random,dice,15,0.06666666666666667
random,dice,20,0.15
random,dice,25,0.16
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,-0.013924050632911392
random,kuncheva,15,-0.12252252252252252
random,kuncheva,20,-0.0963768115942029
random,kuncheva,25,-0.168125
random,mwm,5,0.40715751575157516
random,mwm,10,0.48087949612243897
random,mwm,15,0.5427747716438113
random,mwm,20,0.533361756847234
random,mwm,25,0.562333350042108
random,global_spearman,NA,-0.15658835546476002
random,jaccard,5,0.0
random,jaccard,10,0.1111111111111111
random,jaccard,15,0.07142857142857142
random,jaccard,20,0.14285714285714285
random,jaccard,25,0.1111111111111111
random,dice,5,0.0
random,dice,10,0.2
random,dice,15,0.13333333333333333
random,dice,20,0.25
random,dice,25,0.2
random,kuncheva,5,-0.05952380952380952
random,kuncheva,10,0.09873417721518987
random,kuncheva,15,-0.04234234234234234
random,kuncheva,20,0.03260869565217391
random,kuncheva,25,-0.1125
random,mwm,5,0.455997599759976
random,mwm,10,0.4292475620248166
random,mwm,15,0.4865564568937878
random,mwm,20,0.5595761867637156
random,mwm,25,0.5508321095191677
random,global_spearman,NA,0.005141300646918645
oneDSAE,jaccard,5,0.42857142857142855
oneDSAE,jaccard,10,0.5384615384615384
oneDSAE,jaccard,15,0.42857142857142855
oneDSAE,jaccard,20,0.42857142857142855
oneDSAE,jaccard,25,0.47058823529411764
oneDSAE,dice,5,0.6
oneDSAE,dice,10,0.7
oneDSAE,dice,15,0.6
oneDSAE,dice,20,0.6
oneDSAE,dice,25,0.64
oneDSAE,kuncheva,5,0.5761904761904761
oneDSAE,kuncheva,10,0.6620253164556962
oneDSAE,kuncheva,15,0.518918918918919
oneDSAE,kuncheva,20,0.48405797101449277
oneDSAE,kuncheva,25,0.499375
oneDSAE,mwm,5,0.7355679567956795
oneDSAE,mwm,10,0.8212877287728773
oneDSAE,mwm,15,0.7483892389238923
oneDSAE,mwm,20,0.7686660438987709
oneDSAE,mwm,25,0.7803266726672666
oneDSAE,global_spearman,NA,0.6064181137214846
oneDSAE,jaccard,5,0.25
oneDSAE,jaccard,10,0.42857142857142855
oneDSAE,jaccard,15,0.5
oneDSAE,jaccard,20,0.48148148148148145
oneDSAE,jaccard,25,0.5151515151515151
oneDSAE,dice,5,0.4
oneDSAE,dice,10,0.6
oneDSAE,dice,15,0.6666666666666666
oneDSAE,dice,20,0.65
oneDSAE,dice,25,0.68
oneDSAE,kuncheva,5,0.36428571428571427
oneDSAE,kuncheva,10,0.549367088607595
oneDSAE,kuncheva,15,0.5990990990990991
oneDSAE,kuncheva,20,0.5485507246376812
oneDSAE,kuncheva,25,0.555
oneDSAE,mwm,5,0.6277947794779479
oneDSAE,mwm,10,0.7685364536453646
oneDSAE,mwm,15,0.7915791579157915
oneDSAE,mwm,20,0.7517623698783988
oneDSAE,mwm,25,0.7913284128412842
oneDSAE,global_spearman,NA,0.6917773237997957
oneDSAE,jaccard,5,0.25
oneDSAE,jaccard,10,0.3333333333333333
oneDSAE,jaccard,15,0.5
oneDSAE,jaccard,20,0.6
oneDSAE,jaccard,25,0.5625
oneDSAE,dice,5,0.4
oneDSAE,dice,10,0.5
oneDSAE,dice,15,0.6666666666666666
oneDSAE,dice,20,0.75
oneDSAE,dice,25,0.72
oneDSAE,kuncheva,5,0.36428571428571427
oneDSAE,kuncheva,10,0.43670886075949367
oneDSAE,kuncheva,15,0.5990990990990991
oneDSAE,kuncheva,20,0.677536231884058
oneDSAE,kuncheva,25,0.610625
oneDSAE,mwm,5,0.6604740474047406
oneDSAE,mwm,10,0.6167416741674168
oneDSAE,mwm,15,0.7305794579457946
oneDSAE,mwm,20,0.821972397239724
oneDSAE,mwm,25,0.821192073176177
oneDSAE,global_spearman,NA,0.7728975144705482
oneDSAE,jaccard,5,0.1111111111111111
oneDSAE,jaccard,10,0.25
oneDSAE,jaccard,15,0.2
oneDSAE,jaccard,20,0.17647058823529413
oneDSAE,jaccard,25,0.25
oneDSAE,dice,5,0.2
oneDSAE,dice,10,0.4
oneDSAE,dice,15,0.3333333333333333
oneDSAE,dice,20,0.3
oneDSAE,dice,25,0.4
oneDSAE,kuncheva,5,0.1523809523809524
oneDSAE,kuncheva,10,0.3240506329113924
oneDSAE,kuncheva,15,0.1981981981981982
oneDSAE,kuncheva,20,0.09710144927536232
oneDSAE,kuncheva,25,0.165625
oneDSAE,mwm,5,0.38456165616561655
oneDSAE,mwm,10,0.5264193711013327
oneDSAE,mwm,15,0.5356303158077291
oneDSAE,mwm,20,0.5564464092230336
oneDSAE,mwm,25,0.61267979451057
oneDSAE,global_spearman,NA,0.31699012597889
oneDSAE,jaccard,5,0.1111111111111111
oneDSAE,jaccard,10,0.3333333333333333
oneDSAE,jaccard,15,0.5789473684210527
oneDSAE,jaccard,20,0.48148148148148145
oneDSAE,jaccard,25,0.47058823529411764
oneDSAE,dice,5,0.2
oneDSAE,dice,10,0.5
oneDSAE,dice,15,0.7333333333333333
oneDSAE,dice,20,0.65
oneDSAE,dice,25,0.64
oneDSAE,kuncheva,5,0.1523809523809524
oneDSAE,kuncheva,10,0.43670886075949367
oneDSAE,kuncheva,15,0.6792792792792792
oneDSAE,kuncheva,20,0.5485507246376812
oneDSAE,kuncheva,25,0.499375
oneDSAE,mwm,5,0.48743354335433553
oneDSAE,mwm,10,0.7034779477947795
oneDSAE,mwm,15,0.8147638763876388
oneDSAE,mwm,20,0.7871191119111911
oneDSAE,mwm,25,0.784928412841284
oneDSAE,global_spearman,NA,0.5182158665304732
oneDSAE,jaccard,5,0.1111111111111111
oneDSAE,jaccard,10,0.3333333333333333
oneDSAE,jaccard,15,0.36363636363636365
oneDSAE,jaccard,20,0.5384615384615384
oneDSAE,jaccard,25,0.42857142857142855
oneDSAE,dice,5,0.2
oneDSAE,dice,10,0.5
oneDSAE,dice,15,0.5333333333333333
oneDSAE,dice,20,0.7
oneDSAE,dice,25,0.6
oneDSAE,kuncheva,5,0.1523809523809524
oneDSAE,kuncheva,10,0.43670886075949367
oneDSAE,kuncheva,15,0.43873873873873875
oneDSAE,kuncheva,20,0.6130434782608696
oneDSAE,kuncheva,25,0.44375
oneDSAE,mwm,5,0.5248196819681968
oneDSAE,mwm,10,0.678909090909091
oneDSAE,mwm,15,0.740120412041204
oneDSAE,mwm,20,0.789314573918466
oneDSAE,mwm,25,0.7524482344633094
oneDSAE,global_spearman,NA,0.5565883554647599
oneDSAE,jaccard,5,0.1111111111111111
oneDSAE,jaccard,10,0.25
oneDSAE,jaccard,15,0.2
oneDSAE,jaccard,20,0.3333333333333333
oneDSAE,jaccard,25,0.3888888888888889
oneDSAE,dice,5,0.2
oneDSAE,dice,10,0.4
oneDSAE,dice,15,0.3333333333333333
oneDSAE,dice,20,0.5
oneDSAE,dice,25,0.56
oneDSAE,kuncheva,5,0.1523809523809524
oneDSAE,kuncheva,10,0.3240506329113924
oneDSAE,kuncheva,15,0.1981981981981982
oneDSAE,kuncheva,20,0.35507246376811596
oneDSAE,kuncheva,25,0.388125
oneDSAE,mwm,5,0.37668406840684066
oneDSAE,mwm,10,0.5514634755117738
oneDSAE,mwm,15,0.5314642992060689
oneDSAE,mwm,20,0.6480204917708745
oneDSAE,mwm,25,0.6846222501557225
oneDSAE,global_spearman,NA,0.38462717058222673
oneDSAE,jaccard,5,0.6666666666666666
oneDSAE,jaccard,10,0.25
oneDSAE,jaccard,15,0.36363636363636365
oneDSAE,jaccard,20,0.5384615384615384
oneDSAE,jaccard,25,0.7241379310344828
oneDSAE,dice,5,0.8
oneDSAE,dice,10,0.4
oneDSAE,dice,15,0.5333333333333333
oneDSAE,dice,20,0.7
oneDSAE,dice,25,0.84
oneDSAE,kuncheva,5,0.7880952380952381
oneDSAE,kuncheva,10,0.3240506329113924
oneDSAE,kuncheva,15,0.43873873873873875
oneDSAE,kuncheva,20,0.6130434782608696
oneDSAE,kuncheva,25,0.7775
oneDSAE,mwm,5,0.8166240624062407
oneDSAE,mwm,10,0.614912691269127
oneDSAE,mwm,15,0.7244980498049804
oneDSAE,mwm,20,0.7828274763890498
oneDSAE,mwm,25,0.8770461385827177
oneDSAE,global_spearman,NA,0.748910452843037
oneDSAE,jaccard,5,0.0
oneDSAE,jaccard,10,0.1111111111111111
oneDSAE,jaccard,15,0.15384615384615385
oneDSAE,jaccard,20,0.25
oneDSAE,jaccard,25,0.25
oneDSAE,dice,5,0.0
oneDSAE,dice,10,0.2
oneDSAE,dice,15,0.26666666666666666
oneDSAE,dice,20,0.4
oneDSAE,dice,25,0.4
oneDSAE,kuncheva,5,-0.05952380952380952
oneDSAE,kuncheva,10,0.09873417721518987
oneDSAE,kuncheva,15,0.11801801801801802
oneDSAE,kuncheva,20,0.22608695652173913
oneDSAE,kuncheva,25,0.165625
oneDSAE,mwm,5,0.3239051905190519
oneDSAE,mwm,10,0.49451800264740287
oneDSAE,mwm,15,0.5315891116873172
oneDSAE,mwm,20,0.6244190492286233
oneDSAE,mwm,25,0.6453263636342851
oneDSAE,global_spearman,NA,0.22710248552945178
oneDSAE,jaccard,5,0.0
oneDSAE,jaccard,10,0.1111111111111111
oneDSAE,jaccard,15,0.07142857142857142
oneDSAE,jaccard,20,0.25
oneDSAE,jaccard,25,0.3157894736842105
oneDSAE,dice,5,0.0
oneDSAE,dice,10,0.2
oneDSAE,dice,15,0.13333333333333333
oneDSAE,dice,20,0.4
oneDSAE,dice,25,0.48
oneDSAE,kuncheva,5,-0.05952380952380952
oneDSAE,kuncheva,10,0.09873417721518987
oneDSAE,kuncheva,15,-0.04234234234234234
oneDSAE,kuncheva,20,0.22608695652173913
oneDSAE,kuncheva,25,0.276875
oneDSAE,mwm,5,0.3132361236123612
oneDSAE,mwm,10,0.4175876879330159
oneDSAE,mwm,15,0.41895144792094047
oneDSAE,mwm,20,0.5945454191240238
oneDSAE,mwm,25,0.6724128129469836
oneDSAE,global_spearman,NA,0.2936329588014981
bayesianDSAE,jaccard,5,0.42857142857142855
bayesianDSAE,jaccard,10,0.42857142857142855
bayesianDSAE,jaccard,15,0.42857142857142855
bayesianDSAE,jaccard,20,0.48148148148148145
bayesianDSAE,jaccard,25,0.47058823529411764
bayesianDSAE,dice,5,0.6
bayesianDSAE,dice,10,0.6
bayesianDSAE,dice,15,0.6
bayesianDSAE,dice,20,0.65
bayesianDSAE,dice,25,0.64
bayesianDSAE,kuncheva,5,0.5761904761904761
bayesianDSAE,kuncheva,10,0.549367088607595
bayesianDSAE,kuncheva,15,0.518918918918919
bayesianDSAE,kuncheva,20,0.5485507246376812
bayesianDSAE,kuncheva,25,0.499375
bayesianDSAE,mwm,5,0.7344470447044704
bayesianDSAE,mwm,10,0.7822502250225023
bayesianDSAE,mwm,15,0.7598079807980798
bayesianDSAE,mwm,20,0.7873117084652276
bayesianDSAE,mwm,25,0.779989198919892
bayesianDSAE,global_spearman,NA,0.6106060606060606
bayesianDSAE,jaccard,5,0.1111111111111111
bayesianDSAE,jaccard,10,0.3333333333333333
bayesianDSAE,jaccard,15,0.42857142857142855
bayesianDSAE,jaccard,20,0.48148148148148145
bayesianDSAE,jaccard,25,0.5625
bayesianDSAE,dice,5,0.2
bayesianDSAE,dice,10,0.5
bayesianDSAE,dice,15,0.6
bayesianDSAE,dice,20,0.65
bayesianDSAE,dice,25,0.72
bayesianDSAE,kuncheva,5,0.1523809523809524
bayesianDSAE,kuncheva,10,0.43670886075949367
bayesianDSAE,kuncheva,15,0.518918918918919
bayesianDSAE,kuncheva,20,0.5485507246376812
bayesianDSAE,kuncheva,25,0.610625
bayesianDSAE,mwm,5,0.5506894689468946
bayesianDSAE,mwm,10,0.7294989498949895
bayesianDSAE,mwm,15,0.738108210821082
bayesianDSAE,mwm,20,0.753949588600271
bayesianDSAE,mwm,25,0.8131989198919891
bayesianDSAE,global_spearman,NA,0.6919645897173987
bayesianDSAE,jaccard,5,0.25
bayesianDSAE,jaccard,10,0.3333333333333333
bayesianDSAE,jaccard,15,0.5
bayesianDSAE,jaccard,20,0.6
bayesianDSAE,jaccard,25,0.6129032258064516
bayesianDSAE,dice,5,0.4
bayesianDSAE,dice,10,0.5
bayesianDSAE,dice,15,0.6666666666666666
bayesianDSAE,dice,20,0.75
bayesianDSAE,dice,25,0.76
bayesianDSAE,kuncheva,5,0.36428571428571427
bayesianDSAE,kuncheva,10,0.43670886075949367
bayesianDSAE,kuncheva,15,0.5990990990990991
bayesianDSAE,kuncheva,20,0.677536231884058
bayesianDSAE,kuncheva,25,0.66625
bayesianDSAE,mwm,5,0.6604740474047406
bayesianDSAE,mwm,10,0.6318607860786079
bayesianDSAE,mwm,15,0.748929292929293
bayesianDSAE,mwm,20,0.821972397239724
bayesianDSAE,mwm,25,0.8473561295818176
bayesianDSAE,global_spearman,NA,0.7843718079673137
bayesianDSAE,jaccard,5,0.42857142857142855
bayesianDSAE,jaccard,10,0.42857142857142855
bayesianDSAE,jaccard,15,0.5
bayesianDSAE,jaccard,20,0.3793103448275862
bayesianDSAE,jaccard,25,0.42857142857142855
bayesianDSAE,dice,5,0.6
bayesianDSAE,dice,10,0.6
bayesianDSAE,dice,15,0.6666666666666666
bayesianDSAE,dice,20,0.55
bayesianDSAE,dice,25,0.6
bayesianDSAE,kuncheva,5,0.5761904761904761
bayesianDSAE,kuncheva,10,0.549367088607595
bayesianDSAE,kuncheva,15,0.5990990990990991
bayesianDSAE,kuncheva,20,0.41956521739130437
bayesianDSAE,kuncheva,25,0.44375
bayesianDSAE,mwm,5,0.7232499249924993
bayesianDSAE,mwm,10,0.7523996399639965
bayesianDSAE,mwm,15,0.769491434059742
bayesianDSAE,mwm,20,0.706750726141116
bayesianDSAE,mwm,25,0.735078953754336
bayesianDSAE,global_spearman,NA,0.7231528770854614
bayesianDSAE,jaccard,5,0.25
bayesianDSAE,jaccard,10,0.3333333333333333
bayesianDSAE,jaccard,15,0.5789473684210527
bayesianDSAE,jaccard,20,0.6
bayesianDSAE,jaccard,25,0.47058823529411764
bayesianDSAE,dice,5,0.4
bayesianDSAE,dice,10,0.5
bayesianDSAE,dice,15,0.7333333333333333
bayesianDSAE,dice,20,0.75
bayesianDSAE,dice,25,0.64
bayesianDSAE,kuncheva,5,0.36428571428571427
bayesianDSAE,kuncheva,10,0.43670886075949367
bayesianDSAE,kuncheva,15,0.6792792792792792
bayesianDSAE,kuncheva,20,0.677536231884058
bayesianDSAE,kuncheva,25,0.499375
bayesianDSAE,mwm,5,0.6365460546054607
bayesianDSAE,mwm,10,0.7034779477947795
bayesianDSAE,mwm,15,0.8138213821382139
bayesianDSAE,mwm,20,0.8346732673267325
bayesianDSAE,mwm,25,0.784928412841284
bayesianDSAE,global_spearman,NA,0.5176370446033367
bayesianDSAE,jaccard,5,0.1111111111111111
bayesianDSAE,jaccard,10,0.3333333333333333
bayesianDSAE,jaccard,15,0.36363636363636365
bayesianDSAE,jaccard,20,0.5384615384615384
bayesianDSAE,jaccard,25,0.42857142857142855
bayesianDSAE,dice,5,0.2
bayesianDSAE,dice,10,0.5
bayesianDSAE,dice,15,0.5333333333333333
bayesianDSAE,dice,20,0.7
bayesianDSAE,dice,25,0.6
bayesianDSAE,kuncheva,5,0.1523809523809524
bayesianDSAE,kuncheva,10,0.43670886075949367
bayesianDSAE,kuncheva,15,0.43873873873873875
bayesianDSAE,kuncheva,20,0.6130434782608696
bayesianDSAE,kuncheva,25,0.44375
bayesianDSAE,mwm,5,0.4803168316831684
bayesianDSAE,mwm,10,0.678909090909091
bayesianDSAE,mwm,15,0.7148266826682669
bayesianDSAE,mwm,20,0.7891729597570499
bayesianDSAE,mwm,25,0.7524482344633094
